Entity Label,Top 20 Kata (Negatif) (Frekuensi)
ORG,transjakarta (171); ojol (11); jakarta (7); selatan (6); dki (6); tempo (6); pt transjakarta (5); lintas (5); persija (5); pt (5); ng (4); kt (4); motor (4); liputancom jakarta (4); tis (4); unit (4); detik (3); indonesia (3); ji (3); ol (3)
NOR,transjakarta (18); polisi (17); kepolisian (11); polda metro jaya (8); gubernur (7); pemerintah (7); dpr (7); polda (6); kn (5); brimob (5); polda metro (5); kepala departemen (5); an (5); jakarta (5); qu (5); komisaris (5); transportasi (4); ol (4); pemerintah provinsi dki jakarta (4); gubernur jakarta (4)
LOC,halte (27); transjakarta (9); cawang (4); ancol (4); mikrotrans (4); tup (4); stasiun (4); jaya (3); halte transjakarta (3); trans (3); puri beta (3); halte gerbang (3); rumah (3); lapangan (3); jalan gatsu (2); halte tanjung duren (2); jalan saharjo (2); jalan cideng timur (2); jalan (2); prov (2)
PER,pramono (14); pram (11); ayu (9); johan budi (9); ayu wardhani (7); oj (6); affa (5); saf (5); johan (5); pramono anung (4); sima (4); jh (4); tamar (4); akbp ojo ruslani (3); anwar (3); jumat (3); aif (3); ai (3); rangga (3); ld (3)
PRD,bus transjakarta (22); mobil (14); motor (12); sepeda motor (7); bus listrik (5); instagram (4); trans (3); tb (3); kompas (3); ban bus transjakarta (3); rp (3); persen (3); bustrans (2); budi (2); jakarta (2); ojek (2); cctv (2); sistem angkutan umum bingkai transportasi makro (2); mog (2); ang (2)
GPE,jakarta (83); dki (4); jakarta barat (4); jakarta selatan (3); jakarta pusat (3); jak (3); cile (2); ancol (2); kota (2); setia (1); tarakan (1); plumpang (1); ja jakarta utara jakut (1); maluku utara (1); tanjung (1); banten (1); jakarta timur jakarta utara (1); teb (1); kota jakarta (1); dki jakarta (1)
DAT,jumat (13); september (9); sabtu (6); agustus (6); kamis (4); senin (4); jumat agustus (4); senin september (4); selasa (3); maret (3); sabtu agustus (3); januari (2); minggu (2); beroperasi februari (1); rabu (1); januariseptember (1); ahad september (1); selasa september (1); senin agustus (1); kamis agustus (1)
EVT,bs (7); demonstrasi (6); demonstrasi agustus (4); agustus (4); jakarta (3); lo (2); bsp (2); qu (2); halte (2); fit (1); work (1); de (1); oll to continue with (1); sh (1); tle (1); an (1); maaf (1); beroperasi (1); bat (1); hitam (1)
FAC,jembatan (3); priok (2); halte transjakarta (2); transjakarta (2); halte (2); rsud tarakan (1); rsud (1); tanjung (1); lin (1); apa (1); jembatan puri beta (1); tebet (1); tebet jakarta selatan (1); teb (1); halte transjakarta jagajakarta (1); tol ruas (1); stasiun cakung (1); palmerah (1)
LAW,sk surat keputusan uji coba operasi direktur operasional (1); surat keputusan kepala dinas perhubungan dki jakarta (1); nomor lpbxipol (1)
TIM,agustus wib (1); wib (1)
